Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Manchester City,UEFA Champions League,J1,73%,768 of 847 — 91%,8 of 23 — 35%,1 of 1 — 100%
Napoli,UEFA Champions League,J1,27%,77% — 237 of 306,100% — 1 of 1,75% — 6 of 8
Sporting CP,UEFA Champions League,J1,64%,508 of 601 — 85%,7 of 20 — 35%,3 of 4 — 75%
Qaırat Almaty,UEFA Champions League,J1,36%,74% — 251 of 339,44% — 4 of 9,42% — 3 of 7
Newcastle Utd,UEFA Champions League,J1,37%,233 of 334 — 70%,6 of 10 — 60%,3 of 5 — 60%
Barcelona,UEFA Champions League,J1,63%,85% — 490 of 578,26% — 5 of 19,83% — 5 of 6
Eint Frankfurt,UEFA Champions League,J1,39%,278 of 375 — 74%,5 of 11 — 45%,4 of 5 — 80%
Galatasaray,UEFA Champions League,J1,61%,85% — 500 of 591,36% — 5 of 14,40% — 2 of 5
Atalanta,UEFA Champions League,J2,49%,450 of 530 — 85%,1 of 19 — 5%,1 of 2 — 50%
Club Brugge,UEFA Champions League,J2,51%,86% — 483 of 562,29% — 2 of 7,0% — 0 of 1
Chelsea,UEFA Champions League,J2,56%,475 of 552 — 86%,3 of 8 — 38%,3 of 3 — 100%
Benfica,UEFA Champions League,J2,44%,81% — 356 of 439,33% — 3 of 9,100% — 3 of 3
Atlético Madrid,UEFA Champions League,J2,51%,559 of 624 — 90%,11 of 17 — 65%,1 of 2 — 50%
Eint Frankfurt,UEFA Champions League,J2,49%,85% — 499 of 588,33% — 2 of 6,63% — 7 of 11
Inter,UEFA Champions League,J2,57%,518 of 589 — 88%,5 of 21 — 24%,1 of 1 — 100%
Slavia Prague,UEFA Champions League,J2,43%,83% — 368 of 442,33% — 1 of 3,40% — 2 of 5
Bodø/Glimt,UEFA Champions League,J2,52%,464 of 541 — 86%,4 of 17 — 24%,2 of 3 — 66%
Tottenham,UEFA Champions League,J2,48%,83% — 417 of 500,38% — 3 of 8,50% — 2 of 4
Marseille,UEFA Champions League,J2,48%,433 of 504 — 86%,6 of 9 — 67%,2 of 2 — 100%
Ajax,UEFA Champions League,J2,52%,86% — 476 of 551,15% — 2 of 13,33% — 2 of 6
Qaırat Almaty,UEFA Champions League,J2,33%,248 of 327 — 76%,4 of 11 — 36%,7 of 11 — 63%
Real Madrid,UEFA Champions League,J2,67%,87% — 568 of 655,58% — 11 of 19,100% — 4 of 4
Galatasaray,UEFA Champions League,J2,34%,195 of 295 — 66%,3 of 8 — 38%,3 of 3 — 100%
Liverpool,UEFA Champions League,J2,66%,85% — 491 of 580,19% — 3 of 16,100% — 3 of 3
Pafos FC,UEFA Champions League,J2,34%,294 of 387 — 76%,2 of 6 — 33%,10 of 15 — 66%
Bayern Munich,UEFA Champions League,J2,66%,88% — 658 of 748,58% — 15 of 26,50% — 1 of 2
Union SG,UEFA Champions League,J2,43%,334 of 421 — 79%,6 of 16 — 38%,2 of 4 — 50%
Newcastle Utd,UEFA Champions League,J2,57%,84% — 464 of 553,36% — 4 of 11,100% — 6 of 6
Arsenal,UEFA Champions League,J2,61%,440 of 543 — 81%,4 of 16 — 25%,3 of 3 — 100%
Olympiacos,UEFA Champions League,J2,39%,70% — 246 of 351,30% — 3 of 10,50% — 2 of 4
Qarabağ,UEFA Champions League,J2,49%,289 of 402 — 72%,6 of 10 — 60%,4 of 4 — 100%
FC Copenhagen,UEFA Champions League,J2,51%,74% — 310 of 419,33% — 4 of 12,66% — 4 of 6
Barcelona,UEFA Champions League,J2,47%,387 of 449 — 86%,1 of 12 — 8%,5 of 7 — 71%
Paris S-G,UEFA Champions League,J2,53%,85% — 436 of 510,47% — 7 of 15,0% — 0 of 1
Leverkusen,UEFA Champions League,J2,47%,456 of 527 — 87%,4 of 14 — 29%,0 of 1 — 0%
PSV Eindhoven,UEFA Champions League,J2,53%,86% — 517 of 603,17% — 1 of 6,75% — 3 of 4
Napoli,UEFA Champions League,J2,51%,477 of 541 — 88%,3 of 12 — 25%,3 of 3 — 100%
Sporting CP,UEFA Champions League,J2,49%,89% — 464 of 521,43% — 3 of 7,33% — 1 of 3
Dortmund,UEFA Champions League,J2,52%,482 of 570 — 85%,8 of 13 — 62%,2 of 3 — 66%
Athletic Club,UEFA Champions League,J2,48%,82% — 428 of 519,50% — 3 of 6,50% — 4 of 8
Monaco,UEFA Champions League,J2,29%,257 of 328 — 78%,2 of 7 — 29%,4 of 6 — 66%
Manchester City,UEFA Champions League,J2,71%,93% — 754 of 815,33% — 6 of 18,50% — 1 of 2
Villarreal,UEFA Champions League,J2,46%,322 of 415 — 78%,6 of 17 — 35%,2 of 4 — 50%
Juventus,UEFA Champions League,J2,54%,83% — 410 of 495,31% — 4 of 13,66% — 4 of 6
Barcelona,UEFA Champions League,J3,72%,624 of 699 — 89%,6 of 13 — 46%,1 of 1 — 100%
Olympiacos,UEFA Champions League,J3,28%,66% — 181 of 276,25% — 1 of 4,16% — 1 of 6
Newcastle Utd,UEFA Champions League,J3,52%,376 of 458 — 82%,10 of 20 — 50%,2 of 2 — 100%
Benfica,UEFA Champions League,J3,48%,80% — 338 of 425,29% — 2 of 7,70% — 7 of 10
Arsenal,UEFA Champions League,J3,51%,400 of 460 — 87%,8 of 19 — 42%,1 of 1 — 100%
Atlético Madrid,UEFA Champions League,J3,49%,82% — 357 of 435,9% — 1 of 11,50% — 4 of 8
Leverkusen,UEFA Champions League,J3,30%,284 of 336 — 85%,2 of 4 — 50%,1 of 8 — 12%
Paris S-G,UEFA Champions League,J3,70%,94% — 743 of 792,33% — 8 of 24,50% — 1 of 2
PSV Eindhoven,UEFA Champions League,J3,59%,467 of 544 — 86%,8 of 19 — 42%,0 of 2 — 0%
Napoli,UEFA Champions League,J3,41%,79% — 304 of 385,20% — 2 of 10,37% — 3 of 8
Villarreal,UEFA Champions League,J3,34%,301 of 366 — 82%,2 of 11 — 18%,4 of 6 — 66%
Manchester City,UEFA Champions League,J3,66%,92% — 638 of 696,60% — 6 of 10,100% — 2 of 2
Union SG,UEFA Champions League,J3,31%,252 of 322 — 78%,5 of 15 — 33%,3 of 6 — 50%
Inter,UEFA Champions League,J3,69%,90% — 645 of 716,30% — 6 of 20,100% — 5 of 5
FC Copenhagen,UEFA Champions League,J3,36%,289 of 373 — 77%,4 of 11 — 36%,1 of 4 — 25%
Dortmund,UEFA Champions League,J3,64%,84% — 557 of 667,50% — 4 of 8,75% — 3 of 4
Qaırat Almaty,UEFA Champions League,J3,68%,495 of 602 — 82%,2 of 22 — 9%,5 of 5 — 100%
Pafos FC,UEFA Champions League,J3,32%,64% — 183 of 288,56% — 5 of 9,100% — 2 of 2
Athletic Club,UEFA Champions League,J3,59%,442 of 533 — 83%,5 of 21 — 24%,2 of 3 — 66%
Qarabağ,UEFA Champions League,J3,41%,73% — 267 of 365,33% — 3 of 9,40% — 2 of 5
Galatasaray,UEFA Champions League,J3,39%,325 of 398 — 82%,11 of 23 — 48%,1 of 2 — 50%
Bodø/Glimt,UEFA Champions League,J3,61%,85% — 540 of 633,25% — 2 of 8,72% — 8 of 11
Torino,Italian Serie A,J2,46%,251 of 336 — 75%,4 of 7 — 57%,3 of 3 — 100%
Fiorentina,Italian Serie A,J2,54%,82% — 324 of 397,19% — 3 of 16,100% — 4 of 4
Sporting CP,UEFA Champions League,J3,53%,420 of 506 — 83%,7 of 14 — 50%,2 of 3 — 66%
Marseille,UEFA Champions League,J3,47%,83% — 378 of 454,30% — 3 of 10,71% — 5 of 7
Chelsea,UEFA Champions League,J3,65%,569 of 633 — 90%,8 of 20 — 40%,0 of 0 — %
Ajax,UEFA Champions League,J3,35%,78% — 264 of 340,0% — 0 of 1,62% — 5 of 8
Bayern Munich,UEFA Champions League,J3,63%,687 of 757 — 91%,11 of 26 — 42%,2 of 2 — 100%
Club Brugge,UEFA Champions League,J3,37%,87% — 383 of 439,40% — 2 of 5,63% — 7 of 11
Atalanta,UEFA Champions League,J3,56%,336 of 466 — 72%,5 of 22 — 23%,4 of 4 — 100%
Slavia Prague,UEFA Champions League,J3,44%,67% — 244 of 362,25% — 4 of 16,100% — 5 of 5
Real Madrid,UEFA Champions League,J3,65%,580 of 648 — 90%,9 of 28 — 32%,4 of 4 — 100%
Juventus,UEFA Champions League,J3,35%,78% — 272 of 349,31% — 4 of 13,88% — 8 of 9
Monaco,UEFA Champions League,J3,56%,409 of 495 — 83%,8 of 23 — 35%,2 of 2 — 100%
Tottenham,UEFA Champions League,J3,44%,78% — 307 of 392,18% — 2 of 11,100% — 8 of 8
Eint Frankfurt,UEFA Champions League,J3,35%,318 of 398 — 80%,1 of 4 — 25%,9 of 14 — 64%
Liverpool,UEFA Champions League,J3,65%,90% — 665 of 742,78% — 14 of 18,0% — 0 of 1
Slavia Prague,UEFA Champions League,J4,43%,201 of 295 — 68%,1 of 9 — 11%,5 of 7 — 71%
Arsenal,UEFA Champions League,J4,57%,78% — 301 of 385,54% — 7 of 13,100% — 1 of 1
Napoli,UEFA Champions League,J4,64%,632 of 722 — 88%,2 of 18 — 11%,3 of 3 — 100%
Eint Frankfurt,UEFA Champions League,J4,36%,78% — 320 of 409,43% — 3 of 7,100% — 2 of 2
Tottenham,UEFA Champions League,J4,61%,484 of 556 — 87%,6 of 13 — 46%,4 of 4 — 100%
FC Copenhagen,UEFA Champions League,J4,39%,80% — 287 of 358,33% — 4 of 12,33% — 2 of 6
Liverpool,UEFA Champions League,J4,40%,281 of 369 — 76%,9 of 17 — 53%,2 of 2 — 100%
Real Madrid,UEFA Champions League,J4,60%,86% — 477 of 555,25% — 2 of 8,88% — 8 of 9
Juventus,UEFA Champions League,J4,49%,449 of 535 — 84%,9 of 18 — 50%,0 of 1 — 0%
Sporting CP,UEFA Champions League,J4,51%,87% — 479 of 553,25% — 1 of 4,88% — 8 of 9
Atlético Madrid,UEFA Champions League,J4,66%,598 of 689 — 87%,6 of 14 — 43%,2 of 3 — 66%
Union SG,UEFA Champions League,J4,34%,77% — 276 of 357,38% — 3 of 8,50% — 3 of 6
Bodø/Glimt,UEFA Champions League,J4,64%,640 of 732 — 87%,4 of 17 — 24%,1 of 2 — 50%
Monaco,UEFA Champions League,J4,36%,76% — 313 of 411,22% — 2 of 9,100% — 4 of 4
Paris S-G,UEFA Champions League,J4,71%,676 of 761 — 89%,9 of 25 — 36%,3 of 5 — 60%
Bayern Munich,UEFA Champions League,J4,29%,75% — 235 of 315,56% — 5 of 9,88% — 8 of 9
Olympiacos,UEFA Champions League,J4,40%,247 of 343 — 72%,4 of 18 — 22%,1 of 2 — 50%
PSV Eindhoven,UEFA Champions League,J4,60%,83% — 422 of 511,20% — 2 of 10,75% — 3 of 4
Pafos FC,UEFA Champions League,J4,41%,313 of 412 — 76%,2 of 5 — 40%,5 of 5 — 100%
Villarreal,UEFA Champions League,J4,59%,85% — 499 of 589,28% — 5 of 18,50% — 1 of 2
Manchester City,UEFA Champions League,J4,50%,439 of 514 — 85%,11 of 18 — 61%,3 of 4 — 75%
Dortmund,UEFA Champions League,J4,50%,84% — 428 of 507,33% — 4 of 12,63% — 7 of 11
Benfica,UEFA Champions League,J4,53%,499 of 574 — 87%,5 of 21 — 24%,2 of 3 — 66%
Leverkusen,UEFA Champions League,J4,47%,88% — 445 of 508,43% — 3 of 7,100% — 5 of 5
Newcastle Utd,UEFA Champions League,J4,58%,451 of 559 — 81%,4 of 8 — 50%,5 of 5 — 100%
Athletic Club,UEFA Champions League,J4,42%,72% — 292 of 406,42% — 5 of 12,50% — 2 of 4
Marseille,UEFA Champions League,J4,53%,421 of 522 — 81%,4 of 15 — 27%,1 of 2 — 50%
Atalanta,UEFA Champions League,J4,47%,81% — 377 of 464,29% — 2 of 7,100% — 4 of 4
Inter,UEFA Champions League,J4,65%,533 of 640 — 83%,8 of 23 — 35%,2 of 3 — 66%
Qaırat Almaty,UEFA Champions League,J4,35%,73% — 251 of 343,43% — 3 of 7,75% — 6 of 8
Club Brugge,UEFA Champions League,J4,25%,183 of 253 — 72%,6 of 10 — 60%,4 of 6 — 66%
Barcelona,UEFA Champions League,J4,75%,90% — 696 of 773,26% — 6 of 23,50% — 3 of 6
Ajax,UEFA Champions League,J4,48%,432 of 498 — 87%,2 of 8 — 25%,5 of 6 — 83%
Galatasaray,UEFA Champions League,J4,52%,87% — 467 of 539,50% — 6 of 12,100% — 2 of 2
Qarabağ,UEFA Champions League,J4,39%,257 of 338 — 76%,2 of 8 — 25%,2 of 4 — 50%
Chelsea,UEFA Champions League,J4,61%,86% — 452 of 527,25% — 4 of 16,50% — 1 of 2
Ajax,UEFA Champions League,J5,62%,613 of 713 — 86%,3 of 7 — 43%,2 of 4 — 50%
Benfica,UEFA Champions League,J5,38%,82% — 356 of 436,36% — 4 of 11,100% — 3 of 3
Manchester City,UEFA Champions League,J5,55%,550 of 630 — 87%,7 of 19 — 37%,0 of 2 — 0%
Leverkusen,UEFA Champions League,J5,45%,85% — 433 of 510,29% — 2 of 7,100% — 7 of 7
Chelsea,UEFA Champions League,J5,56%,478 of 554 — 86%,5 of 15 — 33%,2 of 2 — 100%
Barcelona,UEFA Champions League,J5,44%,84% — 368 of 440,40% — 2 of 5,60% — 3 of 5
Galatasaray,UEFA Champions League,J5,66%,508 of 619 — 82%,2 of 15 — 13%,4 of 5 — 80%
Union SG,UEFA Champions League,J5,34%,68% — 218 of 321,31% — 5 of 16,100% — 2 of 2
Dortmund,UEFA Champions League,J5,66%,588 of 660 — 89%,5 of 11 — 45%,1 of 1 — 100%
Villarreal,UEFA Champions League,J5,34%,80% — 278 of 346,10% — 1 of 10,20% — 1 of 5
Slavia Prague,UEFA Champions League,J5,52%,248 of 367 — 68%,3 of 8 — 38%,4 of 4 — 100%
Athletic Club,UEFA Champions League,J5,48%,66% — 223 of 337,33% — 4 of 12,100% — 3 of 3
Bodø/Glimt,UEFA Champions League,J5,57%,482 of 583 — 83%,5 of 17 — 29%,12 of 15 — 80%
Juventus,UEFA Champions League,J5,43%,78% — 340 of 437,65% — 15 of 23,80% — 4 of 5
Marseille,UEFA Champions League,J5,57%,477 of 577 — 83%,7 of 18 — 39%,7 of 8 — 87%
Newcastle Utd,UEFA Champions League,J5,43%,80% — 347 of 432,40% — 8 of 20,71% — 5 of 7
Napoli,UEFA Champions League,J5,55%,506 of 577 — 88%,7 of 16 — 44%,3 of 3 — 100%
Qarabağ,UEFA Champions League,J5,45%,83% — 397 of 479,27% — 3 of 11,85% — 6 of 7
FC Copenhagen,UEFA Champions League,J5,54%,402 of 512 — 79%,8 of 17 — 47%,2 of 4 — 50%
Qaırat Almaty,UEFA Champions League,J5,46%,78% — 346 of 444,31% — 4 of 13,75% — 6 of 8
Pafos FC,UEFA Champions League,J5,49%,341 of 449 — 76%,4 of 17 — 24%,4 of 6 — 66%
Monaco,UEFA Champions League,J5,51%,80% — 377 of 470,43% — 6 of 14,75% — 3 of 4
Liverpool,UEFA Champions League,J5,63%,545 of 620 — 88%,9 of 27 — 33%,2 of 5 — 40%
PSV Eindhoven,UEFA Champions League,J5,37%,78% — 284 of 364,63% — 5 of 8,88% — 8 of 9
Sporting CP,UEFA Champions League,J5,45%,424 of 496 — 85%,9 of 19 — 47%,1 of 1 — 100%
Club Brugge,UEFA Champions League,J5,55%,86% — 516 of 600,13% — 1 of 8,66% — 6 of 9
Arsenal,UEFA Champions League,J5,40%,297 of 381 — 78%,8 of 12 — 67%,1 of 2 — 50%
Bayern Munich,UEFA Champions League,J5,60%,86% — 485 of 562,25% — 2 of 8,62% — 5 of 8
Paris S-G,UEFA Champions League,J5,67%,576 of 654 — 88%,5 of 14 — 36%,1 of 4 — 25%
Tottenham,UEFA Champions League,J5,33%,70% — 226 of 323,36% — 4 of 11,20% — 1 of 5
Eint Frankfurt,UEFA Champions League,J5,46%,397 of 499 — 80%,3 of 9 — 33%,3 of 6 — 50%
Atalanta,UEFA Champions League,J5,54%,83% — 480 of 575,29% — 6 of 21,100% — 3 of 3
Atlético Madrid,UEFA Champions League,J5,48%,436 of 528 — 83%,6 of 15 — 40%,5 of 6 — 83%
Inter,UEFA Champions League,J5,52%,84% — 469 of 561,35% — 6 of 17,66% — 4 of 6
Olympiacos,UEFA Champions League,J5,42%,336 of 433 — 78%,8 of 18 — 44%,3 of 7 — 42%
Real Madrid,UEFA Champions League,J5,58%,86% — 523 of 608,47% — 7 of 15,62% — 5 of 8
Bayern Munich,UEFA Champions League,J6,62%,665 of 722 — 92%,9 of 23 — 39%,0 of 0 — %
Sporting CP,UEFA Champions League,J6,38%,88% — 392 of 446,0% — 0 of 4,66% — 6 of 9
Tottenham,UEFA Champions League,J6,53%,319 of 404 — 79%,8 of 14 — 57%,5 of 5 — 100%
Slavia Prague,UEFA Champions League,J6,47%,73% — 259 of 356,42% — 5 of 12,100% — 8 of 8
Qaırat Almaty,UEFA Champions League,J6,46%,302 of 454 — 67%,1 of 5 — 20%,7 of 8 — 87%
Olympiacos,UEFA Champions League,J6,54%,74% — 392 of 532,40% — 8 of 20,100% — 1 of 1
Inter,UEFA Champions League,J6,50%,438 of 527 — 83%,2 of 9 — 22%,4 of 4 — 100%
Liverpool,UEFA Champions League,J6,50%,86% — 457 of 531,36% — 4 of 11,100% — 2 of 2
Atalanta,UEFA Champions League,J6,50%,446 of 536 — 83%,4 of 14 — 29%,4 of 5 — 80%
Chelsea,UEFA Champions League,J6,50%,84% — 456 of 540,50% — 5 of 10,50% — 2 of 4
Barcelona,UEFA Champions League,J6,74%,770 of 867 — 89%,7 of 19 — 37%,3 of 4 — 75%
Eint Frankfurt,UEFA Champions League,J6,26%,61% — 181 of 297,67% — 4 of 6,71% — 5 of 7
PSV Eindhoven,UEFA Champions League,J6,52%,425 of 528 — 80%,3 of 13 — 23%,6 of 9 — 66%
Atlético Madrid,UEFA Champions League,J6,48%,80% — 391 of 486,60% — 9 of 15,33% — 1 of 3
Monaco,UEFA Champions League,J6,42%,265 of 364 — 73%,4 of 18 — 22%,2 of 2 — 100%
Galatasaray,UEFA Champions League,J6,58%,82% — 415 of 506,15% — 2 of 13,75% — 3 of 4
Union SG,UEFA Champions League,J6,41%,359 of 452 — 79%,6 of 8 — 75%,2 of 5 — 40%
Marseille,UEFA Champions League,J6,59%,87% — 560 of 645,50% — 5 of 10,66% — 4 of 6
Villarreal,UEFA Champions League,J6,52%,384 of 475 — 81%,5 of 19 — 26%,1 of 4 — 25%
FC Copenhagen,UEFA Champions League,J6,48%,77% — 345 of 447,50% — 4 of 8,60% — 3 of 5
Benfica,UEFA Champions League,J6,40%,290 of 380 — 76%,5 of 13 — 38%,2 of 2 — 100%
Napoli,UEFA Champions League,J6,60%,82% — 468 of 571,22% — 2 of 9,60% — 3 of 5
Real Madrid,UEFA Champions League,J6,51%,391 of 473 — 83%,1 of 16 — 6%,6 of 7 — 85%
Manchester City,UEFA Champions League,J6,49%,85% — 378 of 446,64% — 7 of 11,0% — 0 of 1
Leverkusen,UEFA Champions League,J6,51%,390 of 480 — 81%,7 of 17 — 41%,3 of 4 — 75%
Newcastle Utd,UEFA Champions League,J6,49%,82% — 376 of 459,33% — 4 of 12,85% — 6 of 7
Dortmund,UEFA Champions League,J6,63%,502 of 606 — 83%,9 of 22 — 41%,1 of 3 — 33%
Bodø/Glimt,UEFA Champions League,J6,37%,74% — 268 of 360,43% — 3 of 7,77% — 7 of 9
Juventus,UEFA Champions League,J6,61%,534 of 606 — 88%,5 of 26 — 19%,3 of 3 — 100%
Pafos FC,UEFA Champions League,J6,39%,82% — 313 of 384,25% — 3 of 12,60% — 3 of 5
Athletic Club,UEFA Champions League,J6,28%,198 of 286 — 69%,1 of 9 — 11%,4 of 4 — 100%
Paris S-G,UEFA Champions League,J6,72%,86% — 623 of 724,22% — 4 of 18,100% — 1 of 1
Club Brugge,UEFA Champions League,J6,49%,439 of 506 — 87%,7 of 18 — 39%,7 of 10 — 70%
Arsenal,UEFA Champions League,J6,51%,84% — 443 of 527,50% — 10 of 20,100% — 7 of 7
Qarabağ,UEFA Champions League,J6,48%,345 of 421 — 82%,6 of 17 — 35%,4 of 8 — 50%
Ajax,UEFA Champions League,J6,52%,86% — 393 of 457,40% — 8 of 20,66% — 4 of 6
Inter,Italian Serie A,J2,67%,459 of 567 — 81%,3 of 16 — 19%,3 of 4 — 75%
Udinese,Italian Serie A,J2,33%,71% — 197 of 279,44% — 4 of 9,66% — 2 of 3
Midtjylland,UEFA Europa League,J1,52%,344 of 448 — 77%,5 of 7 — 71%,4 of 4 — 100%
Sturm Graz,UEFA Europa League,J1,48%,73% — 301 of 410,36% — 4 of 11,80% — 4 of 5
PAOK,UEFA Europa League,J1,55%,383 of 470 — 81%,4 of 18 — 22%,3 of 3 — 100%
Maccabi Tel Aviv,UEFA Europa League,J1,45%,84% — 318 of 378,33% — 3 of 9,100% — 4 of 4
Braga,UEFA Europa League,J1,45%,333 of 424 — 79%,2 of 8 — 25%,1 of 1 — 100%
Feyenoord,UEFA Europa League,J1,55%,79% — 413 of 524,20% — 1 of 5,50% — 1 of 2
Freiburg,UEFA Europa League,J1,48%,336 of 439 — 77%,5 of 15 — 33%,3 of 4 — 75%
Basel,UEFA Europa League,J1,52%,81% — 383 of 475,27% — 4 of 15,60% — 3 of 5
Red Star,UEFA Europa League,J1,47%,370 of 472 — 78%,4 of 16 — 25%,5 of 6 — 83%
Celtic,UEFA Europa League,J1,53%,84% — 445 of 530,75% — 6 of 8,75% — 3 of 4
Nice,UEFA Europa League,J1,43%,369 of 478 — 77%,1 of 6 — 17%,2 of 4 — 50%
Roma,UEFA Europa League,J1,57%,82% — 518 of 630,33% — 4 of 12,100% — 1 of 1
Betis,UEFA Europa League,J1,56%,505 of 562 — 90%,4 of 9 — 44%,4 of 6 — 66%
Nott'ham Forest,UEFA Europa League,J1,44%,84% — 374 of 443,38% — 6 of 16,50% — 2 of 4
Malmö,UEFA Europa League,J1,60%,531 of 630 — 84%,5 of 10 — 50%,5 of 6 — 83%
Ludogorets,UEFA Europa League,J1,40%,78% — 330 of 424,30% — 6 of 20,80% — 4 of 5
Dinamo Zagreb,UEFA Europa League,J1,42%,317 of 417 — 76%,3 of 11 — 27%,1 of 2 — 50%
Fenerbahçe,UEFA Europa League,J1,58%,80% — 456 of 568,33% — 2 of 6,0% — 0 of 3
Lille,UEFA Europa League,J1,55%,454 of 564 — 80%,4 of 17 — 24%,2 of 3 — 66%
Brann,UEFA Europa League,J1,45%,78% — 364 of 465,25% — 3 of 12,50% — 2 of 4
Go Ahead Eag,UEFA Europa League,J1,72%,573 of 672 — 85%,7 of 17 — 41%,5 of 6 — 83%
FCSB,UEFA Europa League,J1,28%,71% — 180 of 255,75% — 6 of 8,100% — 7 of 7
Aston Villa,UEFA Europa League,J1,46%,284 of 371 — 77%,3 of 11 — 27%,7 of 7 — 100%
Bologna,UEFA Europa League,J1,54%,78% — 333 of 429,41% — 7 of 17,66% — 2 of 3
Rangers,UEFA Europa League,J1,53%,442 of 519 — 85%,1 of 11 — 9%,2 of 3 — 66%
Genk,UEFA Europa League,J1,47%,88% — 407 of 462,18% — 3 of 17,100% — 1 of 1
Stuttgart,UEFA Europa League,J1,59%,548 of 636 — 86%,6 of 19 — 32%,0 of 1 — 0%
Celta Vigo,UEFA Europa League,J1,41%,82% — 369 of 449,13% — 1 of 8,66% — 4 of 6
Young Boys,UEFA Europa League,J1,58%,452 of 536 — 84%,3 of 19 — 16%,2 of 6 — 33%
Panathinaikos,UEFA Europa League,J1,42%,80% — 304 of 381,33% — 6 of 18,66% — 2 of 3
